relation_type	related_work	related_person	start_date	end_date
1049	http://schnitzler-werkimport/work_2706	pmb11461		
1049	http://schnitzler-werkimport/work_2707	pmb11461		
1049	http://schnitzler-werkimport/work_2707	pmb23867		
1049	http://schnitzler-werkimport/work_2708	pmb11461		
1049	http://schnitzler-werkimport/work_2708	pmb11803		
1049	http://schnitzler-werkimport/work_2709	pmb11461		
1049	http://schnitzler-werkimport/work_2709	pmb10547		
1049	http://schnitzler-werkimport/work_2710	pmb11461		
1049	http://schnitzler-werkimport/work_2710	pmb9463		
1049	http://schnitzler-werkimport/work_2729	pmb11461		
1049	http://schnitzler-werkimport/work_2711	pmb11461		
1049	http://schnitzler-werkimport/work_2711	pmb13177		
1049	http://schnitzler-werkimport/work_2728	pmb11461		
1049	http://schnitzler-werkimport/work_2715	pmb11461		
1049	http://schnitzler-werkimport/work_2717	pmb11461		
1049	http://schnitzler-werkimport/work_2718	pmb11461		
1049	http://schnitzler-werkimport/work_2721	pmb11461		
1049	http://schnitzler-werkimport/work_2722	pmb11461		
1049	http://schnitzler-werkimport/work_2722	pmb21383		
1049	http://schnitzler-werkimport/work_2725	pmb11461		
1049	http://schnitzler-werkimport/work_2736	pmb11461		
1049	http://schnitzler-werkimport/work_2738	pmb11461		
1049	http://schnitzler-werkimport/work_2919	pmb11585		
1049	http://schnitzler-werkimport/work_2920	pmb11585		
1049	http://schnitzler-werkimport/work_2921	pmb11585		
1049	http://schnitzler-werkimport/work_4004	pmb12290		
1049	http://schnitzler-werkimport/work_3793	pmb20914		
1049	http://schnitzler-werkimport/work_3794	pmb20914		
1049	http://schnitzler-werkimport/work_1785	pmb10992		
1049	http://schnitzler-werkimport/work_1786	pmb10992		
1049	http://schnitzler-werkimport/work_1789	pmb10992		
1049	http://schnitzler-werkimport/D63_n1_w4_o1	pmb10992		
1049	http://schnitzler-werkimport/D63_n1_w1_t1	pmb10992		
1049	http://schnitzler-werkimport/D63_n1_w1_o1	pmb10992		
1049	http://schnitzler-werkimport/work_1787	pmb10992		
1049	http://schnitzler-werkimport/D63_n1_w4_o2	pmb10992		
1049	http://schnitzler-werkimport/D63_n1_w3	pmb10992		
1049	http://schnitzler-werkimport/D63_n1_w2_t1	pmb10992		
1049	http://schnitzler-werkimport/D63_n1_w2_o1	pmb10992		
1049	http://schnitzler-werkimport/work_1790	pmb10992		
1049	http://schnitzler-werkimport/work_4821	pmb2412		
1049	http://schnitzler-werkimport/work_4844	pmb2412		
1049	http://schnitzler-werkimport/work_4841	pmb2412		
1049	http://schnitzler-werkimport/work_4836	pmb2412		
1049	http://schnitzler-werkimport/work_4839	pmb2412		
1049	http://schnitzler-werkimport/work_4829	pmb2412		
1049	http://schnitzler-werkimport/work_3773	pmb12156		
1049	http://schnitzler-werkimport/work_3775	pmb12156		
1049	http://schnitzler-werkimport/work_3779	pmb12156		
1049	http://schnitzler-werkimport/work_3780	pmb12156		
1049	http://schnitzler-werkimport/work_3783	pmb12156		
1049	http://schnitzler-werkimport/work_3776	pmb12156		
1049	http://schnitzler-werkimport/work_3777	pmb12156		
1049	http://schnitzler-werkimport/work_3778	pmb12156		
1049	http://schnitzler-werkimport/work_3774	pmb12156		
1049	http://schnitzler-werkimport/work_3782	pmb12156		
1049	http://schnitzler-werkimport/work_5044	pmb12870		
1049	http://schnitzler-werkimport/work_5043	pmb12870		
1049	http://schnitzler-werkimport/work_5045	pmb12870		
1049	http://schnitzler-werkimport/work_5046	pmb12870		
1049	http://schnitzler-werkimport/work_5040	pmb12870		
1049	http://schnitzler-werkimport/work_5048	pmb12870		
1049	http://schnitzler-werkimport/work_5051	pmb12870		
1049	http://schnitzler-werkimport/work_5052	pmb12870		
1049	http://schnitzler-werkimport/work_5054	pmb12870		
1049	http://schnitzler-werkimport/work_5056	pmb12870		
1049	http://schnitzler-werkimport/work_5057	pmb12870		
1049	http://schnitzler-werkimport/work_5058	pmb12870		
1049	http://schnitzler-werkimport/work_5059	pmb12870		
1049	http://schnitzler-werkimport/work_5061	pmb12870		
1049	http://schnitzler-werkimport/work_4516	pmb2652		
1049	http://schnitzler-werkimport/work_4919	pmb2456		
1049	http://schnitzler-werkimport/work_4924	pmb2456		
1049	http://schnitzler-werkimport/work_4920	pmb2456		
1049	http://schnitzler-werkimport/work_4921	pmb2456		
1049	http://schnitzler-werkimport/work_4922	pmb2456		
1049	http://schnitzler-werkimport/work_4923	pmb2456		
1049	http://schnitzler-werkimport/work_4925	pmb2456		
1049	http://schnitzler-werkimport/work_4927	pmb2456		
1049	http://schnitzler-werkimport/work_1570	pmb10883		
1049	http://schnitzler-werkimport/work_1572	pmb10883		
1049	http://schnitzler-werkimport/work_1572	pmb14074		
1049	http://schnitzler-werkimport/work_1571	pmb10883		
1049	http://schnitzler-werkimport/D85_n1_w1	pmb2416		
1049	http://schnitzler-werkimport/D85_n1_w3	pmb2416		
1049	http://schnitzler-werkimport/work_2094	pmb2416		
1049	http://schnitzler-werkimport/work_2093	pmb2416		
1049	http://schnitzler-werkimport/D85_n1_w2	pmb2416		
1049	http://schnitzler-werkimport/work_5326	pmb5248		
1049	http://schnitzler-werkimport/work_2839	pmb11527		
