id	name	start_date	end_date	kind
http://schnitzler-werkimport/work_4189	Anne Christie			1097
http://schnitzler-werkimport/work_3902	Barbara Naderers Viehstand			
http://schnitzler-werkimport/work_3901	Das Apostelspiel			1097
http://schnitzler-werkimport/work_3905	Das Nachfolge Christi-Spiel			
http://schnitzler-werkimport/work_3903	Der Barbier von Berriac			
http://schnitzler-werkimport/D308_n1_w1	Lateinische Erzählungen	1904	1904	1342
http://schnitzler-werkimport/work_2327	Mit meinen Augen			
http://schnitzler-werkimport/work_4144	Briefe			1791
http://schnitzler-werkimport/work_4147	Vom Nutzen und Nachtheil der Historie für das Leben			1089
http://schnitzler-werkimport/work_1274	Bekannte von der Straße. Genrebilder			
http://schnitzler-werkimport/work_1277	Das vierte Gebot			1097
http://schnitzler-werkimport/work_1276	Der Fleck auf der Ehr'			1097
http://schnitzler-werkimport/work_1278	Der G'wissenswurm			1097
http://schnitzler-werkimport/work_1281	Der Pfarrer von Kirchfeld			1097
http://schnitzler-werkimport/work_1280	Die Kreuzelschreiber			1097
http://schnitzler-werkimport/work_1279	Heimg'funden			1097
http://schnitzler-werkimport/work_3939	Der Vielgeprüfte			1097
http://schnitzler-werkimport/work_2263	Zaubermärchen			
http://schnitzler-werkimport/work_5619	Das Haus am Meer			1097
http://schnitzler-werkimport/work_5623	Das Lamm des Armen			1056
http://schnitzler-werkimport/work_5622	Der verwandelte Komödiant			1097
http://schnitzler-werkimport/work_5618	Émile Verhaeren			1804
http://schnitzler-werkimport/work_5620	Jeremias			1097
http://schnitzler-werkimport/work_5621	Joseph Fouché			1156
http://schnitzler-werkimport/work_5625	Romain Rolland			1156
http://schnitzler-werkimport/work_5626	Verwirrung der Gefühle			1098
http://schnitzler-werkimport/work_3977	Der Arzt wider Willen			1097
http://schnitzler-werkimport/work_3982	Die lächerlichen Preziösen			1097
http://schnitzler-werkimport/work_3983	Die Schule der Frauen			1097
http://schnitzler-werkimport/work_3979	Don Juan oder Der steinerne Gast			1097
http://schnitzler-werkimport/work_3978	L’avare (Der Geizige)			1097
http://schnitzler-werkimport/work_3981	Le misanthrope (Der Misanthrop)			1097
http://schnitzler-werkimport/work_1254	Der Gedanke und andere Novellen			
http://schnitzler-werkimport/work_1255	Die Geschichte von den sieben Gehenkten			
http://schnitzler-werkimport/R1_n1_w1_o1	Mysl’	1902	1902	
http://schnitzler-werkimport/work_1256	Studentenliebe			
http://schnitzler-werkimport/work_4100	Gottesfriede			1060
http://schnitzler-werkimport/work_4101	Julies Tagebuch			
http://schnitzler-werkimport/work_2705	Anmerkungen zu: Rameaus Neffe			
http://schnitzler-werkimport/work_2706	Annalen			
http://schnitzler-werkimport/work_2707	Briefwechsel des Großherzogs Karl August mit Goethe in den Jahren 1775-1828			
http://schnitzler-werkimport/work_2708	Briefwechsel zwischen Goethe und F. H. Jacobi			
