relation_type	uri	related_work	start_date	end_date
1884	http://schnitzler-werkimport/F174_n1_w6_t1	http://schnitzler-werkimport/F174_n1_w6_o1	1873	1911
1884	http://schnitzler-werkimport/F174_n1_w2_t1	http://schnitzler-werkimport/F174_n1_w2_o1	1875	1875
1884	http://schnitzler-werkimport/I1_n1_w1_t1	http://schnitzler-werkimport/I1_n1_w1_o1	1824	1824
1884	http://schnitzler-werkimport/I4_n1_w1_t1	http://schnitzler-werkimport/I4_n1_w1_o1	1876	1876
1884	http://schnitzler-werkimport/I6_n1_w1_t1	http://schnitzler-werkimport/I6_n1_w1_o1	1881	1881
1884	http://schnitzler-werkimport/I7_n1_w1_t1	http://schnitzler-werkimport/I7_n1_w1_o1	1886	1886
1884	http://schnitzler-werkimport/I7_n1_w3_t1	http://schnitzler-werkimport/I7_n1_w3_o1	1876	1876
1884	http://schnitzler-werkimport/I7_n1_w4_t1	http://schnitzler-werkimport/I7_n1_w4_o1	1883	1883
1884	http://schnitzler-werkimport/I7_n1_w2_t1	http://schnitzler-werkimport/I7_n1_w2_o1	1900	1900
1884	http://schnitzler-werkimport/I7_n1_w5_t1	http://schnitzler-werkimport/I7_n1_w5_o1	1884	1884
1884	http://schnitzler-werkimport/I9_n1_w1_t1	http://schnitzler-werkimport/I9_n1_w1_o1	1913	1913
1884	http://schnitzler-werkimport/I10_n1_w1_t1	http://schnitzler-werkimport/I10_n1_w1_o1	1751	1751
1884	http://schnitzler-werkimport/I11_n1_w1_t1	http://schnitzler-werkimport/I11_n1_w1_o1	1923	1923
1884	http://schnitzler-werkimport/I12_n1_w1_t1	http://schnitzler-werkimport/I12_n1_w1_o1	1923	1923
1884	http://schnitzler-werkimport/I14_n1_w1_t1	http://schnitzler-werkimport/I14_n1_w1_o1	1837	1837
1884	http://schnitzler-werkimport/I15_n1_w1_t1	http://schnitzler-werkimport/I15_n1_w1_o1	1908	1908
1884	http://schnitzler-werkimport/I16_n1_w1_t1	http://schnitzler-werkimport/I16_n1_w1_o1	1953	1953
1884	http://schnitzler-werkimport/E1_n1_w1_t1	http://schnitzler-werkimport/E1_n1_w1_o1	1845	1845
1884	http://schnitzler-werkimport/E1_n2_w1_t1	http://schnitzler-werkimport/E1_n2_w1_o1	1886	1886
1884	http://schnitzler-werkimport/E4_n1_w2_t1	http://schnitzler-werkimport/E4_n1_w2_o1	1891	1891
1884	http://schnitzler-werkimport/E4_n1_w3_t1	http://schnitzler-werkimport/E4_n1_w3_o1	1903	1903
1884	http://schnitzler-werkimport/E4_n1_w1_t1	http://schnitzler-werkimport/E4_n1_w1_o1	1889	1889
1884	http://schnitzler-werkimport/E5_n1_w3_t1	http://schnitzler-werkimport/E5_n1_w3_o1	1868	1868
1884	http://schnitzler-werkimport/E5_n1_w5_t1	http://schnitzler-werkimport/E5_n1_w5_o1	1868	1868
1884	http://schnitzler-werkimport/E5_n1_w2_t1	http://schnitzler-werkimport/E5_n1_w2_o1	1869	1869
1884	http://schnitzler-werkimport/E5_n1_w4_t1	http://schnitzler-werkimport/E5_n1_w4_o1	1869	1869
1884	http://schnitzler-werkimport/E5_n1_w7_t1	http://schnitzler-werkimport/E5_n1_w7_o1	1869	1869
1884	http://schnitzler-werkimport/E5_n1_w8_t1	http://schnitzler-werkimport/E5_n1_w8_o1	1869	1869
1884	http://schnitzler-werkimport/E5_n1_w9_t1	http://schnitzler-werkimport/E5_n1_w9_o1	1869	1869
1884	http://schnitzler-werkimport/E5_n1_w10_t1	http://schnitzler-werkimport/E5_n1_w10_o1	1869	1869
1884	http://schnitzler-werkimport/E5_n1_w11_t1	http://schnitzler-werkimport/E5_n1_w11_o1	1869	1869
1884	http://schnitzler-werkimport/E5_n1_w12_t1	http://schnitzler-werkimport/E5_n1_w12_o1	1869	1869
1884	http://schnitzler-werkimport/E5_n1_w13_t1	http://schnitzler-werkimport/E5_n1_w13_o1	1869	1869
1884	http://schnitzler-werkimport/E5_n1_w6_t1	http://schnitzler-werkimport/E5_n1_w6_o1		
1884	http://schnitzler-werkimport/E5_n1_w1_t1	http://schnitzler-werkimport/E5_n1_w1_o1	1868	1868
1884	http://schnitzler-werkimport/E6_n1_w2_t1	http://schnitzler-werkimport/E6_n1_w2_o1	1870	1870
